contigIdx	contigIdxMate	AvgCoverage
0	0	46.8426
0	6210	0.21462
1	1	11.1239
2	2	7.98472
3	3	18.1064
3	6005	0.0656599
3	11378	0.325673
4	4	21.1815
5	5	19.2877
5	1270	0.0276932
6	6	11.2941
7	7	11.4255
8	8	12.2997
9	9	31.5474
9	4932	0.339135
10	10	16.5717
10	2710	0.0279874
11	11	10.4047
12	12	10.6434
13	13	10.5154
14	14	20.8958
14	8232	0.137284
15	15	17.5447
15	9468	0.114686
15	10969	0.152157
16	16	16.1317
16	6996	0.140534
16	8589	0.0234611
17	17	19.9697
18	18	14.6026
19	19	12.9959
20	20	15.7146
21	21	17.2582
22	22	12.3036
23	23	10.3191
24	24	22.4245
24	8295	0.164195
25	25	103.187
25	2674	0.0107717
25	3148	0.00841538
26	26	9.91195
27	27	17.6334
27	9982	0.0526036
28	28	8.40952
28	11384	0.110924
29	29	11.803
30	30	12.0783
31	31	19.2782
32	32	16.5261
32	3819	0.0197465
32	6473	0.0586502
33	33	19.1178
33	4620	0.122741
33	6429	0.48972
33	7423	0.0436137
34	34	13.1044
34	10678	0.0680041
35	35	12.2688
35	768	0.0254237
36	36	71.5167
36	572	0.461182
36	1136	0.019943
37	37	11.7138
38	38	55.1428
39	39	32.4959
39	392	0.11044
39	6153	0.0821429
40	40	15.2893
40	5035	0.418297
41	41	9.73976
42	42	20.4197
42	272	0.00399967
42	1911	0.00379561
42	3963	0.0162844
42	4850	0.0186515
42	5438	0.00399967
42	6374	0.00799935
43	43	15.81
43	5486	0.0206755
44	44	15.855
44	7700	0.0290647
45	45	15.9595
45	395	0.0483712
46	46	77.5846
46	1504	1.71955
47	47	14.0766
48	48	31.5416
48	4040	0.163526
49	49	12.793
50	50	9.73453
51	51	10.9172
51	10144	0.130092
52	52	91.3964
52	416	0.135058
53	53	15.6861
54	54	10.1049
54	9683	0.0617284
55	55	36.5991
55	3504	0.050104
56	56	20.5322
56	1320	0.0357143
57	57	11.7714
58	58	31.3216
58	2978	0.167491
58	5041	0.165637
59	59	113.613
59	6246	0.0104722
59	7314	0.0480142
60	60	12.3557
61	61	17.3665
62	62	10.6221
63	63	12.5972
64	64	23.5964
64	6129	0.192759
65	65	26.0972
65	541	0.0342336
65	11077	0.104249
66	66	85.7203
67	67	33.8606
68	68	79.6628
69	69	13.1694
70	70	26.4485
71	71	7.625
72	72	70.0475
72	1540	0.390364
72	9620	0.422484
73	73	11.5075
73	5820	0.216274
73	7730	0.0342612
74	74	19.1268
75	75	44.8238
75	2596	0.386464
75	2996	0.200641
75	4960	0.28314
75	7240	0.0808971
76	76	10.1878
76	1012	0.126636
77	77	21.4005
77	1091	0.0261409
77	8831	0.221533
77	11627	0.13292
78	78	8.7999
79	79	18.1227
80	80	23.3163
80	6750	0.0619825
81	81	11.1136
82	82	12.6352
82	11502	0.041011
83	83	20.8155
84	84	11.2583
85	85	11.9688
86	86	18.2789
87	87	13.3272
87	2657	0.12524
88	88	12.9737
88	8548	0.327545
89	89	20.2183
89	9423	0.0581797
90	90	23.4133
90	870	0.165153
91	91	12.6115
92	92	50.6047
92	2468	0.227431
92	4766	0.190972
92	10383	0.146991
