locus_tag	ftype	length_bp	gene	EC_number	COG	product
FFOELJHP_00001	CDS	864	kdsB	2.7.7.38		8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
FFOELJHP_00002	tRNA	86				tRNA-Leu(cag)
FFOELJHP_00003	tRNA	76				tRNA-Lys(ttt)
FFOELJHP_00004	CDS	1011				hypothetical protein
FFOELJHP_00005	CDS	3573	rocA	1.2.1.88		1-pyrroline-5-carboxylate dehydrogenase
FFOELJHP_00006	CDS	357	tatC			Sec-independent protein translocase protein TatC
FFOELJHP_00007	CDS	594				hypothetical protein
FFOELJHP_00008	tRNA	86				tRNA-Leu(taa)
FFOELJHP_00009	CDS	243				hypothetical protein
FFOELJHP_00010	CDS	1245	smc_1			Chromosome partition protein Smc
FFOELJHP_00011	CDS	900				hypothetical protein
FFOELJHP_00012	CDS	1449				hypothetical protein
FFOELJHP_00013	CDS	489				hypothetical protein
FFOELJHP_00014	CDS	1392	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
FFOELJHP_00015	CDS	1137	arnB_1	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
FFOELJHP_00016	CDS	1158				hypothetical protein
FFOELJHP_00017	CDS	582	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
FFOELJHP_00018	CDS	843				hypothetical protein
FFOELJHP_00019	CDS	1953				hypothetical protein
FFOELJHP_00020	CDS	255				hypothetical protein
FFOELJHP_00021	CDS	900				hypothetical protein
FFOELJHP_00022	CDS	699				hypothetical protein
FFOELJHP_00023	CDS	771				hypothetical protein
FFOELJHP_00024	CDS	2109				hypothetical protein
FFOELJHP_00025	CDS	342	groS_1			10 kDa chaperonin
FFOELJHP_00026	CDS	1416				hypothetical protein
FFOELJHP_00027	CDS	1401				hypothetical protein
FFOELJHP_00028	CDS	1119				hypothetical protein
FFOELJHP_00029	CDS	711	rex			Redox-sensing transcriptional repressor Rex
FFOELJHP_00030	CDS	1002				hypothetical protein
FFOELJHP_00031	tRNA	73				tRNA-Gln(ttg)
FFOELJHP_00032	CDS	942				hypothetical protein
FFOELJHP_00033	CDS	477				hypothetical protein
FFOELJHP_00034	CDS	630				hypothetical protein
FFOELJHP_00035	CDS	1017				hypothetical protein
FFOELJHP_00036	CDS	2469	PURA	6.3.4.4		Adenylosuccinate synthetase, organellar chromatophore
FFOELJHP_00037	CDS	828	uppS	2.5.1.89	COG0020	Tritrans,polycis-undecaprenyl-diphosphate synthase (GGDP specific)
FFOELJHP_00038	CDS	969				hypothetical protein
FFOELJHP_00039	CDS	948				hypothetical protein
FFOELJHP_00040	CDS	2277	rny	3.1.-.-		Ribonuclease Y
FFOELJHP_00041	CDS	474	ybeY	3.1.-.-		Endoribonuclease YbeY
FFOELJHP_00042	CDS	765	recO			DNA repair protein RecO
FFOELJHP_00043	CDS	1344	cpoB_1			Cell division coordinator CpoB
FFOELJHP_00044	CDS	558				hypothetical protein
FFOELJHP_00045	CDS	903				hypothetical protein
FFOELJHP_00046	CDS	867				hypothetical protein
FFOELJHP_00047	CDS	834				hypothetical protein
FFOELJHP_00048	CDS	1275	proA	1.2.1.41		Gamma-glutamyl phosphate reductase
FFOELJHP_00049	CDS	2088				hypothetical protein
FFOELJHP_00050	CDS	1062		1.18.1.2		Ferredoxin--NADP reductase
FFOELJHP_00051	CDS	774	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
FFOELJHP_00052	CDS	1173	pfp_1	2.7.1.90	COG0205	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
FFOELJHP_00053	CDS	1335				hypothetical protein
FFOELJHP_00054	CDS	1992	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
FFOELJHP_00055	CDS	1953	prsA	5.2.1.8		Foldase protein PrsA
FFOELJHP_00056	CDS	687				hypothetical protein
FFOELJHP_00057	CDS	963	cysO	4.2.1.22	COG0031	Protein CysO
FFOELJHP_00058	CDS	309				hypothetical protein
FFOELJHP_00059	CDS	2538				hypothetical protein
FFOELJHP_00060	CDS	1965				hypothetical protein
FFOELJHP_00061	CDS	654				hypothetical protein
FFOELJHP_00062	CDS	642				hypothetical protein
FFOELJHP_00063	CDS	1137				hypothetical protein
FFOELJHP_00064	CDS	1230				hypothetical protein
FFOELJHP_00065	CDS	1248				hypothetical protein
FFOELJHP_00066	CDS	609	mshD_1	2.3.1.189		Mycothiol acetyltransferase
FFOELJHP_00067	CDS	990				hypothetical protein
FFOELJHP_00068	CDS	777	btuD_1	7.6.2.8	COG1120	Cobalamin import ATP-binding protein BtuD
FFOELJHP_00069	CDS	924				hypothetical protein
FFOELJHP_00070	CDS	1314				hypothetical protein
FFOELJHP_00071	CDS	912	nfo	3.1.21.2		endonuclease 4
FFOELJHP_00072	CDS	513				hypothetical protein
FFOELJHP_00073	CDS	471				hypothetical protein
FFOELJHP_00074	CDS	996				hypothetical protein
FFOELJHP_00075	CDS	1743				hypothetical protein
FFOELJHP_00076	CDS	1215	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
FFOELJHP_00077	CDS	1239				hypothetical protein
FFOELJHP_00078	CDS	786				hypothetical protein
FFOELJHP_00079	CDS	1125				hypothetical protein
FFOELJHP_00080	CDS	897				hypothetical protein
FFOELJHP_00081	CDS	480				hypothetical protein
FFOELJHP_00082	CDS	1497				hypothetical protein
FFOELJHP_00083	CDS	1002	lpxD_1	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
FFOELJHP_00084	CDS	723	hisF_1	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
FFOELJHP_00085	CDS	603	hisH	3.5.1.2		Imidazole glycerol phosphate synthase subunit HisH
FFOELJHP_00086	CDS	858				hypothetical protein
FFOELJHP_00087	CDS	1158				hypothetical protein
FFOELJHP_00088	CDS	522	aroK	2.7.1.71		Shikimate kinase
FFOELJHP_00089	CDS	1500	aroE_1	1.1.1.25		Shikimate dehydrogenase (NADP(+))
FFOELJHP_00090	CDS	852	mutL			DNA mismatch repair protein MutL
FFOELJHP_00091	CDS	234				hypothetical protein
FFOELJHP_00092	CDS	411				hypothetical protein
FFOELJHP_00093	CDS	708				hypothetical protein
FFOELJHP_00094	CDS	2490				hypothetical protein
FFOELJHP_00095	CDS	549				hypothetical protein
FFOELJHP_00096	CDS	1071	purR_1			HTH-type transcriptional repressor PurR
FFOELJHP_00097	CDS	2349				hypothetical protein
FFOELJHP_00098	CDS	459	moaC	4.6.1.17	COG0315	putative cyclic pyranopterin monophosphate synthase
FFOELJHP_00099	CDS	486	nrdR			Transcriptional repressor NrdR
FFOELJHP_00100	CDS	1590				hypothetical protein
FFOELJHP_00101	CDS	606	recR			Recombination protein RecR
FFOELJHP_00102	CDS	1896	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
FFOELJHP_00103	CDS	2523	mutS			DNA mismatch repair protein MutS
FFOELJHP_00104	CDS	690				hypothetical protein
FFOELJHP_00105	CDS	1557				hypothetical protein
FFOELJHP_00106	CDS	507				hypothetical protein
FFOELJHP_00107	CDS	2031	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
FFOELJHP_00108	CDS	1002	gyaR_1	1.1.1.26	COG1052	Glyoxylate reductase
FFOELJHP_00109	CDS	360				hypothetical protein
FFOELJHP_00110	CDS	1539				hypothetical protein
FFOELJHP_00111	CDS	804				hypothetical protein
FFOELJHP_00112	CDS	711				hypothetical protein
FFOELJHP_00113	CDS	828				hypothetical protein
FFOELJHP_00114	CDS	1008	rpoD_1			RNA polymerase sigma factor RpoD
FFOELJHP_00115	CDS	750	rhaD_1	1.1.1.377	COG1028	L-rhamnose 1-dehydrogenase (NADP(+))
FFOELJHP_00116	CDS	1062	lpxD_2	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
FFOELJHP_00117	CDS	912				hypothetical protein
FFOELJHP_00118	CDS	744	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
FFOELJHP_00119	CDS	1059	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
FFOELJHP_00120	CDS	405				hypothetical protein
FFOELJHP_00121	CDS	249				hypothetical protein
FFOELJHP_00122	CDS	2091	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
FFOELJHP_00123	CDS	1221	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
FFOELJHP_00124	CDS	2076				hypothetical protein
FFOELJHP_00125	CDS	714	gph_1	3.1.3.18		Phosphoglycolate phosphatase
FFOELJHP_00126	CDS	1812	lepA	3.6.5.-		Elongation factor 4
FFOELJHP_00127	CDS	1050	nanK	2.7.1.60		N-acetylmannosamine kinase
FFOELJHP_00128	CDS	1569				hypothetical protein
FFOELJHP_00129	CDS	501				hypothetical protein
FFOELJHP_00130	CDS	951				hypothetical protein
FFOELJHP_00131	CDS	438	trmH	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
FFOELJHP_00132	CDS	615				hypothetical protein
FFOELJHP_00133	CDS	597				hypothetical protein
FFOELJHP_00134	CDS	1668				hypothetical protein
FFOELJHP_00135	CDS	735	glcV_1	7.5.2.-	COG3839	Glucose import ATP-binding protein GlcV
FFOELJHP_00136	CDS	492				hypothetical protein
FFOELJHP_00137	CDS	270				hypothetical protein
FFOELJHP_00138	CDS	1383				hypothetical protein
FFOELJHP_00139	CDS	1263				hypothetical protein
FFOELJHP_00140	CDS	1440				hypothetical protein
FFOELJHP_00141	CDS	1425				hypothetical protein
FFOELJHP_00142	CDS	2847				hypothetical protein
FFOELJHP_00143	CDS	285				hypothetical protein
FFOELJHP_00144	CDS	846	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
FFOELJHP_00145	CDS	954				hypothetical protein
FFOELJHP_00146	CDS	1065				hypothetical protein
FFOELJHP_00147	CDS	402				hypothetical protein
FFOELJHP_00148	CDS	1989				hypothetical protein
FFOELJHP_00149	CDS	948				hypothetical protein
FFOELJHP_00150	CDS	1164				hypothetical protein
FFOELJHP_00151	CDS	660				hypothetical protein
FFOELJHP_00152	CDS	1863	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
FFOELJHP_00153	CDS	1188				hypothetical protein
FFOELJHP_00154	CDS	264				hypothetical protein
FFOELJHP_00155	CDS	636				hypothetical protein
FFOELJHP_00156	CDS	1518				hypothetical protein
FFOELJHP_00157	CDS	966				hypothetical protein
FFOELJHP_00158	CDS	1080	thiL_1	2.7.4.16		Thiamine-monophosphate kinase
FFOELJHP_00159	CDS	1086				hypothetical protein
FFOELJHP_00160	CDS	303				hypothetical protein
FFOELJHP_00161	CDS	495				hypothetical protein
FFOELJHP_00162	CDS	888				hypothetical protein
FFOELJHP_00163	CDS	369	hypA		COG0375	Hydrogenase maturation factor HypA
FFOELJHP_00164	CDS	678	hypB		COG0378	putative hydrogenase maturation factor HypB
FFOELJHP_00165	CDS	3432	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
FFOELJHP_00166	CDS	912	cysD	2.7.7.4		Sulfate adenylyltransferase subunit 2
FFOELJHP_00167	CDS	1938	cysN	2.7.7.4		Sulfate adenylyltransferase subunit 1
FFOELJHP_00168	CDS	1128				hypothetical protein
FFOELJHP_00169	CDS	1521	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FFOELJHP_00170	CDS	1038				hypothetical protein
FFOELJHP_00171	CDS	678				hypothetical protein
FFOELJHP_00172	CDS	117				hypothetical protein
FFOELJHP_00173	CDS	966				hypothetical protein
FFOELJHP_00174	CDS	420				hypothetical protein
FFOELJHP_00175	CDS	3564				hypothetical protein
FFOELJHP_00176	CDS	954				hypothetical protein
FFOELJHP_00177	CDS	423				hypothetical protein
FFOELJHP_00178	CDS	2220	malP	2.4.1.1		Maltodextrin phosphorylase
FFOELJHP_00179	CDS	1089				hypothetical protein
FFOELJHP_00180	CDS	630	ruvA	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvA
FFOELJHP_00181	CDS	525	ruvC	3.1.22.4		Crossover junction endodeoxyribonuclease RuvC
FFOELJHP_00182	tRNA	74				tRNA-Arg(acg)
FFOELJHP_00183	CDS	2985	aas_1	6.2.1.20		Bifunctional protein Aas
FFOELJHP_00184	CDS	465				hypothetical protein
FFOELJHP_00185	CDS	1554	crtD_1	1.3.99.37		Carotenoid 3,4-desaturase
FFOELJHP_00186	CDS	1554	crtD_2	1.3.99.37		Carotenoid 3,4-desaturase
FFOELJHP_00187	CDS	828				hypothetical protein
FFOELJHP_00188	CDS	1155				hypothetical protein
FFOELJHP_00189	CDS	957	ghrB_1	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
FFOELJHP_00190	CDS	1221	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
FFOELJHP_00191	CDS	534	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
FFOELJHP_00192	CDS	1050	sua5	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
FFOELJHP_00193	CDS	909				hypothetical protein
FFOELJHP_00194	CDS	723				hypothetical protein
FFOELJHP_00195	CDS	1425				hypothetical protein
FFOELJHP_00196	CDS	3294	mdtB_1			Multidrug resistance protein MdtB
FFOELJHP_00197	CDS	1086	OLA1			Obg-like ATPase 1
FFOELJHP_00198	CDS	585		3.2.2.-		Putative 3-methyladenine DNA glycosylase
FFOELJHP_00199	CDS	633	msrA	1.8.4.11		Peptide methionine sulfoxide reductase MsrA
FFOELJHP_00200	CDS	192				hypothetical protein
FFOELJHP_00201	CDS	687				hypothetical protein
FFOELJHP_00202	CDS	633				hypothetical protein
FFOELJHP_00203	CDS	495				hypothetical protein
FFOELJHP_00204	CDS	2217	lacZ_1	3.2.1.23		Beta-galactosidase
FFOELJHP_00205	CDS	1089	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
FFOELJHP_00206	CDS	303				hypothetical protein
FFOELJHP_00207	CDS	1986				hypothetical protein
FFOELJHP_00208	tRNA	76				tRNA-Met(cat)
FFOELJHP_00209	CDS	1494				hypothetical protein
FFOELJHP_00210	CDS	498	trmL	2.1.1.207		tRNA (cytidine(34)-2'-O)-methyltransferase
FFOELJHP_00211	CDS	1149	ispG	1.17.7.3		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)
FFOELJHP_00212	CDS	1488	miaB_1	2.8.4.3		tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
FFOELJHP_00213	CDS	573	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
FFOELJHP_00214	CDS	819				hypothetical protein
FFOELJHP_00215	CDS	945	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
FFOELJHP_00216	CDS	339	hcaC_1			3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
FFOELJHP_00217	CDS	960	mshD_2	2.3.1.189		Mycothiol acetyltransferase
FFOELJHP_00218	CDS	882				hypothetical protein
FFOELJHP_00219	CDS	723	lexA	3.4.21.88		LexA repressor
FFOELJHP_00220	CDS	1407	norR_3			Anaerobic nitric oxide reductase transcription regulator NorR
FFOELJHP_00221	CDS	1584	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
FFOELJHP_00222	CDS	2298				hypothetical protein
FFOELJHP_00223	CDS	2451				hypothetical protein
FFOELJHP_00224	CDS	900				hypothetical protein
FFOELJHP_00225	CDS	1023				hypothetical protein
FFOELJHP_00226	CDS	2463				hypothetical protein
FFOELJHP_00227	CDS	690				hypothetical protein
FFOELJHP_00228	CDS	1233				hypothetical protein
FFOELJHP_00229	CDS	1533	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
FFOELJHP_00230	CDS	1335	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
FFOELJHP_00231	CDS	495				hypothetical protein
FFOELJHP_00232	CDS	1788				hypothetical protein
FFOELJHP_00233	CDS	1410	bamB_1			Outer membrane protein assembly factor BamB
FFOELJHP_00234	CDS	1407	uxaC	5.3.1.12		Uronate isomerase
FFOELJHP_00235	CDS	1263				hypothetical protein
FFOELJHP_00236	CDS	1836	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
FFOELJHP_00237	tRNA	76				tRNA-Pro(cgg)
FFOELJHP_00238	CDS	192				hypothetical protein
FFOELJHP_00239	CDS	345				hypothetical protein
FFOELJHP_00240	CDS	129				hypothetical protein
FFOELJHP_00241	CDS	1017				hypothetical protein
FFOELJHP_00242	CDS	2091				hypothetical protein
FFOELJHP_00243	CDS	1506				hypothetical protein
FFOELJHP_00244	CDS	1647				hypothetical protein
FFOELJHP_00245	CDS	1755	nasD	1.7.7.1		Assimilatory ferredoxin-dependent nitrite reductase
FFOELJHP_00246	CDS	1746				hypothetical protein
FFOELJHP_00247	CDS	1590				hypothetical protein
FFOELJHP_00248	CDS	747	aglK	2.4.1.153		UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminyltransferase
FFOELJHP_00249	CDS	1254				hypothetical protein
FFOELJHP_00250	CDS	303				hypothetical protein
FFOELJHP_00251	CDS	699				hypothetical protein
FFOELJHP_00252	CDS	828				hypothetical protein
FFOELJHP_00253	CDS	756				hypothetical protein
FFOELJHP_00254	CDS	696				hypothetical protein
FFOELJHP_00255	CDS	873				hypothetical protein
FFOELJHP_00256	CDS	321				hypothetical protein
FFOELJHP_00257	CDS	507				hypothetical protein
FFOELJHP_00258	CDS	243				hypothetical protein
FFOELJHP_00259	CDS	1095	rlmN	2.1.1.192		Dual-specificity RNA methyltransferase RlmN
FFOELJHP_00260	CDS	216				hypothetical protein
FFOELJHP_00261	CDS	927	ispE	2.7.1.148		Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
FFOELJHP_00262	CDS	867	ilvE_1	2.6.1.42	COG0115	Putative branched-chain-amino-acid aminotransferase
FFOELJHP_00263	CDS	747			COG1136	putative ABC transporter ATP-binding protein
FFOELJHP_00264	CDS	1635				hypothetical protein
FFOELJHP_00265	CDS	192				hypothetical protein
FFOELJHP_00266	CDS	1509	aspS_1	6.1.1.23	COG0017	Aspartate--tRNA(Asp/Asn) ligase
FFOELJHP_00267	CDS	384				hypothetical protein
FFOELJHP_00268	CDS	546	moaB	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
FFOELJHP_00269	CDS	315				hypothetical protein
FFOELJHP_00270	CDS	657				hypothetical protein
FFOELJHP_00271	CDS	1338				hypothetical protein
FFOELJHP_00272	CDS	2352				hypothetical protein
FFOELJHP_00273	CDS	2853				hypothetical protein
FFOELJHP_00274	CDS	1671				hypothetical protein
FFOELJHP_00275	CDS	384				hypothetical protein
FFOELJHP_00276	CDS	585				hypothetical protein
FFOELJHP_00277	CDS	1206	bioF_1	2.3.1.47		8-amino-7-oxononanoate synthase
FFOELJHP_00278	CDS	1365				hypothetical protein
FFOELJHP_00279	CDS	4023				hypothetical protein
FFOELJHP_00280	CDS	660	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
FFOELJHP_00281	CDS	1164		2.6.1.57		Aromatic-amino-acid aminotransferase 2
FFOELJHP_00282	CDS	1572	astD	1.2.1.71		N-succinylglutamate 5-semialdehyde dehydrogenase
FFOELJHP_00283	CDS	1335	nupG			Nucleoside permease NupG
FFOELJHP_00284	CDS	1293	pepQ	3.4.13.9		Xaa-Pro dipeptidase
FFOELJHP_00285	CDS	468				hypothetical protein
FFOELJHP_00286	CDS	1194	ackA_1	2.7.2.1		Acetate kinase
FFOELJHP_00287	CDS	924				hypothetical protein
FFOELJHP_00288	CDS	2505	gyrB	5.6.2.2		DNA gyrase subunit B
FFOELJHP_00289	CDS	366				hypothetical protein
FFOELJHP_00290	CDS	1113				hypothetical protein
FFOELJHP_00291	CDS	1092	dnaA_1			Chromosomal replication initiator protein DnaA
FFOELJHP_00292	CDS	1260	iscS2_1	2.8.1.7	COG1104	Cysteine desulfurase IscS 2
FFOELJHP_00293	CDS	1218		2.6.1.57		Aromatic-amino-acid aminotransferase 2
FFOELJHP_00294	CDS	1158				hypothetical protein
FFOELJHP_00295	CDS	1122	rlmM	2.1.1.186		Ribosomal RNA large subunit methyltransferase M
FFOELJHP_00296	CDS	894	birA	6.3.4.15		Bifunctional ligase/repressor BirA
FFOELJHP_00297	CDS	1422				hypothetical protein
FFOELJHP_00298	CDS	1002				hypothetical protein
FFOELJHP_00299	CDS	1269				hypothetical protein
FFOELJHP_00300	CDS	687	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
FFOELJHP_00301	CDS	771				hypothetical protein
FFOELJHP_00302	CDS	1473	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
FFOELJHP_00303	CDS	684				hypothetical protein
FFOELJHP_00304	CDS	1758	ycdX	3.1.3.-		phosphatase YcdX
FFOELJHP_00305	CDS	1257				hypothetical protein
FFOELJHP_00306	CDS	606				hypothetical protein
FFOELJHP_00307	CDS	417				hypothetical protein
FFOELJHP_00308	CDS	1335				hypothetical protein
FFOELJHP_00309	CDS	306	rpoA_1	2.7.7.6		DNA-directed RNA polymerase subunit alpha
FFOELJHP_00310	CDS	2403	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
FFOELJHP_00311	CDS	951	fcl_1	1.1.1.271		GDP-L-fucose synthase
FFOELJHP_00312	CDS	1053	gmd_1	4.2.1.47		GDP-mannose 4,6-dehydratase
FFOELJHP_00313	CDS	756				hypothetical protein
FFOELJHP_00314	CDS	2250				hypothetical protein
FFOELJHP_00315	CDS	1143				hypothetical protein
FFOELJHP_00316	CDS	2781	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
FFOELJHP_00317	CDS	867				hypothetical protein
FFOELJHP_00318	CDS	1221				hypothetical protein
FFOELJHP_00319	CDS	2100				hypothetical protein
FFOELJHP_00320	CDS	1092	nth	4.2.99.18		Endonuclease III
FFOELJHP_00321	CDS	522				hypothetical protein
FFOELJHP_00322	CDS	639	tmk	2.7.4.9		Thymidylate kinase
FFOELJHP_00323	CDS	1419				hypothetical protein
FFOELJHP_00324	CDS	321			COG0347	putative nitrogen regulatory PII-like protein
FFOELJHP_00325	CDS	348				hypothetical protein
FFOELJHP_00326	CDS	264				hypothetical protein
FFOELJHP_00327	CDS	915	thyX	2.1.1.148		Flavin-dependent thymidylate synthase
FFOELJHP_00328	CDS	1269				hypothetical protein
FFOELJHP_00329	CDS	600	trpG_1	4.1.3.27	COG0512	Anthranilate synthase component 2
FFOELJHP_00330	CDS	813				hypothetical protein
FFOELJHP_00331	CDS	840				hypothetical protein
FFOELJHP_00332	CDS	792				hypothetical protein
FFOELJHP_00333	CDS	1818				hypothetical protein
FFOELJHP_00334	CDS	1989				hypothetical protein
FFOELJHP_00335	CDS	789	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
FFOELJHP_00336	CDS	342				hypothetical protein
FFOELJHP_00337	CDS	1215				hypothetical protein
FFOELJHP_00338	CDS	1143	argE	3.5.1.16		Acetylornithine deacetylase
FFOELJHP_00339	CDS	996				hypothetical protein
FFOELJHP_00340	CDS	828				hypothetical protein
FFOELJHP_00341	CDS	1008				hypothetical protein
FFOELJHP_00342	CDS	885				hypothetical protein
FFOELJHP_00343	CDS	396	fpoA	1.12.98.3	COG0838	F(420)H(2) dehydrogenase subunit A
FFOELJHP_00344	CDS	630	ndhK_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K, chloroplastic
FFOELJHP_00345	CDS	534	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
FFOELJHP_00346	CDS	1236	fpoD	1.12.98.3	COG0649	F(420)H(2) dehydrogenase subunit D
FFOELJHP_00347	CDS	516				hypothetical protein
FFOELJHP_00348	CDS	1356				hypothetical protein
FFOELJHP_00349	CDS	1641				hypothetical protein
FFOELJHP_00350	CDS	1257	ndhA	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic
FFOELJHP_00351	CDS	534	fpoI	1.12.98.3	COG1143	F(420)H(2) dehydrogenase subunit I
FFOELJHP_00352	CDS	912				hypothetical protein
FFOELJHP_00353	CDS	444	ndhE	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic
FFOELJHP_00354	CDS	2235	fpoL_1	1.12.98.3	COG1009	F(420)H(2) dehydrogenase subunit L
