locus_tag	ftype	length_bp	gene	EC_number	COG	product
PGLLGMOK_00001	CDS	1290	mnmE_1	3.6.5.-	COG0486	tRNA modification GTPase MnmE
PGLLGMOK_00002	CDS	642	yidC_1			Membrane protein insertase YidC
PGLLGMOK_00003	CDS	1137				hypothetical protein
PGLLGMOK_00004	CDS	372				hypothetical protein
PGLLGMOK_00005	CDS	825				hypothetical protein
PGLLGMOK_00006	CDS	315				hypothetical protein
PGLLGMOK_00007	CDS	675				hypothetical protein
PGLLGMOK_00008	CDS	906	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
PGLLGMOK_00009	CDS	303				hypothetical protein
PGLLGMOK_00010	CDS	297				hypothetical protein
PGLLGMOK_00011	CDS	534	pdxT_1	4.3.3.6		Pyridoxal 5'-phosphate synthase subunit PdxT
PGLLGMOK_00012	CDS	339	fdx4		COG3411	Ferredoxin, 2Fe-2S
PGLLGMOK_00013	tRNA	87				tRNA-Leu(caa)
PGLLGMOK_00014	CDS	1314	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
PGLLGMOK_00015	CDS	654				hypothetical protein
PGLLGMOK_00016	CDS	312				hypothetical protein
PGLLGMOK_00017	CDS	504				hypothetical protein
PGLLGMOK_00018	CDS	543	rpsC_1		COG0092	30S ribosomal protein S3
PGLLGMOK_00019	CDS	405	rplP_1		COG0197	50S ribosomal protein L16
PGLLGMOK_00020	CDS	222				hypothetical protein
PGLLGMOK_00021	CDS	303				hypothetical protein
PGLLGMOK_00022	CDS	369	rplN_1		COG0093	50S ribosomal protein L14
PGLLGMOK_00023	CDS	123				hypothetical protein
PGLLGMOK_00024	CDS	309				hypothetical protein
PGLLGMOK_00025	CDS	162				hypothetical protein
PGLLGMOK_00026	CDS	816	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
PGLLGMOK_00027	CDS	378				hypothetical protein
PGLLGMOK_00028	CDS	1134	nqo4_1	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit 4
PGLLGMOK_00029	CDS	600	ndhJ_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
PGLLGMOK_00030	CDS	525	ndhK_1	7.1.1.-	COG0377	NAD(P)H-quinone oxidoreductase subunit K
PGLLGMOK_00031	CDS	387	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic
PGLLGMOK_00032	CDS	465	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
PGLLGMOK_00033	CDS	393				hypothetical protein
PGLLGMOK_00034	CDS	447	fabL	1.3.1.104		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
PGLLGMOK_00035	CDS	375				hypothetical protein
PGLLGMOK_00036	CDS	702				hypothetical protein
PGLLGMOK_00037	CDS	675	ldh_1	1.4.1.9	COG0334	Leucine dehydrogenase
PGLLGMOK_00038	CDS	807				hypothetical protein
PGLLGMOK_00039	CDS	747				hypothetical protein
PGLLGMOK_00040	CDS	318				hypothetical protein
PGLLGMOK_00041	CDS	267				hypothetical protein
PGLLGMOK_00042	CDS	588				hypothetical protein
PGLLGMOK_00043	CDS	153				hypothetical protein
PGLLGMOK_00044	CDS	780				hypothetical protein
PGLLGMOK_00045	CDS	630				hypothetical protein
PGLLGMOK_00046	CDS	1014				hypothetical protein
PGLLGMOK_00047	CDS	717				hypothetical protein
PGLLGMOK_00048	CDS	843				hypothetical protein
PGLLGMOK_00049	CDS	756				hypothetical protein
PGLLGMOK_00050	CDS	759				hypothetical protein
PGLLGMOK_00051	CDS	324				hypothetical protein
PGLLGMOK_00052	CDS	258				hypothetical protein
PGLLGMOK_00053	CDS	354	pucM	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
PGLLGMOK_00054	CDS	933	dmlR			HTH-type transcriptional regulator DmlR
PGLLGMOK_00055	CDS	978	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
PGLLGMOK_00056	CDS	174				hypothetical protein
PGLLGMOK_00057	CDS	549				hypothetical protein
PGLLGMOK_00058	CDS	123				hypothetical protein
PGLLGMOK_00059	CDS	189				hypothetical protein
PGLLGMOK_00060	CDS	132				hypothetical protein
PGLLGMOK_00061	CDS	2196	uvrA_1		COG0178	UvrABC system protein A
PGLLGMOK_00062	CDS	462				hypothetical protein
PGLLGMOK_00063	CDS	300				hypothetical protein
PGLLGMOK_00064	CDS	168				hypothetical protein
PGLLGMOK_00065	CDS	426				hypothetical protein
PGLLGMOK_00066	CDS	429	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
PGLLGMOK_00067	CDS	621				hypothetical protein
PGLLGMOK_00068	CDS	270		2.5.1.41	COG1646	Geranylgeranylglyceryl phosphate synthase
PGLLGMOK_00069	CDS	1230	smc_1			Chromosome partition protein Smc
PGLLGMOK_00070	CDS	1005	mamK	3.6.1.3	COG1077	Actin-like protein MamK
PGLLGMOK_00071	CDS	321				hypothetical protein
PGLLGMOK_00072	CDS	213				hypothetical protein
PGLLGMOK_00073	CDS	2016				hypothetical protein
PGLLGMOK_00074	CDS	1914				hypothetical protein
PGLLGMOK_00075	CDS	186				hypothetical protein
PGLLGMOK_00076	CDS	447	dapD	2.3.1.117		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
PGLLGMOK_00077	CDS	1827	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
PGLLGMOK_00078	CDS	774				hypothetical protein
PGLLGMOK_00079	CDS	213				hypothetical protein
PGLLGMOK_00080	CDS	312	groS_1			10 kDa chaperonin
PGLLGMOK_00081	CDS	1404	atpD_1	7.1.2.2		ATP synthase subunit beta
PGLLGMOK_00082	CDS	408	atpC_1			ATP synthase epsilon chain
PGLLGMOK_00083	CDS	1362	hppA1_1	7.2.3.-	COG3808	Putative K(+)-stimulated pyrophosphate-energized sodium pump
PGLLGMOK_00084	CDS	792				hypothetical protein
PGLLGMOK_00085	CDS	1200	allC	3.5.3.9	COG0624	Allantoate amidohydrolase
PGLLGMOK_00086	CDS	705	ompR			Transcriptional regulatory protein OmpR
