contigName	contigLen	totalAvgDepth	220421_RR4342129_aln_sorted.bam	220421_RR4342129_aln_sorted.bam-var
k105_6 flag=0 multi=10.8024 len=2777	2777	48.8165	48.8165	152.104
k105_12 flag=1 multi=2.0000 len=1800	1800	11.7291	11.7291	10.2922
k105_15 flag=1 multi=2.8786 len=1505	1505	8.45461	8.45461	6.53172
k105_17 flag=0 multi=4.9718 len=1523	1523	19.4756	19.4756	51.4596
k105_81878 flag=1 multi=3.2235 len=3922	3922	22.1328	22.1328	70.3306
k105_18 flag=1 multi=3.7958 len=3611	3611	20.1667	20.1667	21.9788
k105_81882 flag=1 multi=3.0000 len=2781	2781	11.7948	11.7948	10.1122
k105_81886 flag=1 multi=3.9039 len=2726	2726	11.9359	11.9359	17.0254
k105_30 flag=0 multi=3.9876 len=2526	2526	12.4078	12.4078	15.552
k105_35 flag=0 multi=10.0000 len=1781	1781	34.4323	34.4323	134.109
k105_81903 flag=1 multi=3.6241 len=3180	3180	17.2871	17.2871	21.737
k105_81907 flag=1 multi=1.9744 len=3225	3225	10.8133	10.8133	9.68742
k105_81914 flag=1 multi=3.0000 len=1851	1851	11.338	11.338	10.4592
k105_54 flag=1 multi=1.9479 len=2272	2272	11.0052	11.0052	9.88259
k105_60 flag=0 multi=5.0000 len=3358	3358	21.6325	21.6325	30.0279
k105_81941 flag=0 multi=4.9685 len=2642	2642	18.3262	18.3262	26.0992
k105_81956 flag=0 multi=4.0000 len=4305	4305	16.8609	16.8609	24.7794
k105_81957 flag=1 multi=4.7230 len=1549	1549	22.8335	22.8335	252.957
k105_102 flag=1 multi=1.9530 len=1593	1593	16.061	16.061	34.1295
k105_81966 flag=1 multi=2.9469 len=2705	2705	13.7515	13.7515	22.7804
k105_81987 flag=1 multi=3.8628 len=2992	2992	16.4736	16.4736	30.6925
k105_129 flag=1 multi=2.8896 len=2115	2115	18.316	18.316	67.1767
k105_81999 flag=1 multi=4.0000 len=1884	1884	13.1211	13.1211	11.2514
k105_82003 flag=1 multi=2.5152 len=1877	1877	10.9085	10.9085	9.91979
k105_82013 flag=0 multi=4.6632 len=1821	1821	23.5242	23.5242	87.9536
k105_142 flag=0 multi=21.5236 len=11883	11883	104.712	104.712	259.687
k105_160 flag=1 multi=2.0000 len=2067	2067	10.5775	10.5775	9.91531
k105_165 flag=1 multi=4.0000 len=1882	1882	19.026	19.026	44.9521
k105_168 flag=1 multi=1.9583 len=1785	1785	9.07584	9.07645	5.5211
k105_82054 flag=1 multi=3.0000 len=1645	1645	12.3973	12.3973	10.7149
k105_185 flag=1 multi=2.9400 len=2438	2438	12.5026	12.5026	16.2588
k105_191 flag=1 multi=4.0000 len=2128	2128	20.3827	20.3827	44.0515
k105_82082 flag=1 multi=5.0000 len=3393	3393	17.2319	17.2319	15.647
k105_193 flag=0 multi=5.7433 len=1605	1605	20.967	20.967	66.201
k105_199 flag=1 multi=3.8773 len=2941	2941	13.7324	13.7324	23.5819
k105_82095 flag=1 multi=2.9583 len=2478	2478	12.9991	12.9991	25.493
k105_203 flag=0 multi=11.7947 len=2808	2808	75.6351	75.6354	382.195
k105_82101 flag=1 multi=3.0000 len=1824	1824	12.4958	12.4958	12.9052
k105_82103 flag=0 multi=10.1423 len=2199	2199	57.7213	57.7213	1099.1
k105_218 flag=0 multi=6.9830 len=3640	3640	34.2367	34.2367	99.3436
k105_226 flag=0 multi=3.3555 len=1891	1891	16.3843	16.3843	29.1691
k105_245 flag=1 multi=2.0000 len=1856	1856	10.2866	10.2866	7.83034
k105_82118 flag=0 multi=6.0010 len=24502	24502	20.6517	20.6517	35.82
k105_262 flag=1 multi=3.9473 len=4885	4885	16.3299	16.3299	19.633
k105_82133 flag=1 multi=3.9190 len=3475	3475	16.585	16.585	22.9579
k105_269 flag=1 multi=3.0000 len=2026	2026	17.0677	17.0677	23.0114
k105_276 flag=0 multi=15.7355 len=1519	1519	83.3294	83.3294	260.968
k105_82153 flag=1 multi=4.0000 len=5342	5342	14.4183	14.4183	17.0539
k105_289 flag=0 multi=4.2325 len=1645	1645	32.6535	32.6535	162.415
k105_82178 flag=1 multi=2.2191 len=1990	1990	13.5571	13.5571	22.4296
k105_82186 flag=1 multi=4.0000 len=2181	2181	10.2255	10.2255	18.0783
k105_322 flag=1 multi=2.8447 len=1522	1522	11.6013	11.6013	15.426
k105_323 flag=0 multi=18.3494 len=4561	4561	93.9202	93.9202	450.127
k105_82215 flag=1 multi=2.8909 len=1902	1902	16.9526	16.9532	26.1304
k105_82225 flag=1 multi=3.0000 len=1620	1620	10.8231	10.8231	7.68822
k105_325 flag=1 multi=11.0000 len=17783	17783	37.1298	37.1298	86.1479
k105_82242 flag=1 multi=4.8546 len=2828	2828	21.7995	21.7995	38.5943
k105_339 flag=1 multi=3.0000 len=2410	2410	12.2239	12.2239	11.8294
k105_82260 flag=0 multi=9.9617 len=4854	4854	32.155	32.155	54.334
k105_342 flag=0 multi=29.8467 len=5061	5061	116.188	116.188	783.082
k105_82267 flag=1 multi=2.5849 len=1861	1861	13.3688	13.3688	24.7289
k105_351 flag=0 multi=2.9346 len=1528	1528	19.1016	19.1016	94.6066
k105_82276 flag=1 multi=1.8961 len=1712	1712	11.4558	11.4558	13.974
k105_82280 flag=1 multi=2.9433 len=1517	1517	13.5304	13.5304	17.1849
k105_82282 flag=1 multi=3.6050 len=2044	2044	25.7893	25.7893	39.8747
k105_82293 flag=0 multi=6.9895 len=5813	5813	26.8137	26.8137	58.1188
k105_377 flag=0 multi=16.6961 len=3178	3178	88.1159	88.1159	306.236
