query;seed_ortholog;evalue;score;eggNOG_OGs;max_annot_lvl;COG_category;Description;Preferred_name;GOs;EC;KEGG_ko;KEGG_Pathway;KEGG_Module;KEGG_Reaction;KEGG_rclass;BRITE;KEGG_TC;CAZy;BiGG_Reaction;PFAMs
k105_142_1;436308.Nmar_1113;6.77e-189;530.0;COG1236@1|root,arCOG00545@2157|Archaea,41SYB@651137|Thaumarchaeota;651137|Thaumarchaeota;J;exonuclease of the beta-lactamase fold involved in RNA processing;-;-;-;ko:K07577;-;-;-;-;ko00000;-;-;-;-
k105_142_2;436308.Nmar_1114;1.32e-110;320.0;COG0299@1|root,arCOG02825@2157|Archaea,41SH3@651137|Thaumarchaeota;651137|Thaumarchaeota;F;phosphoribosylglycinamide formyltransferase;-;-;2.1.2.2;ko:K11175;ko00230,ko00670,ko01100,ko01110,ko01130,map00230,map00670,map01100,map01110,map01130;M00048;R04325,R04326;RC00026,RC00197,RC01128;ko00000,ko00001,ko00002,ko01000;-;-;-;Formyl_trans_N
k105_142_3;436308.Nmar_1115;2.35e-55;174.0;arCOG03008@1|root,arCOG03008@2157|Archaea,41STF@651137|Thaumarchaeota;651137|Thaumarchaeota;G;Cupin domain;-;-;-;-;-;-;-;-;-;-;-;-;Cupin_2
k105_142_4;1229909.NSED_06470;5.45e-41;137.0;COG3224@1|root,arCOG08661@2157|Archaea,41T7D@651137|Thaumarchaeota;651137|Thaumarchaeota;S;Antibiotic biosynthesis monooxygenase;-;-;1.14.99.57;ko:K21481;-;-;-;-;ko00000,ko01000;-;-;-;ABM
k105_142_5;436308.Nmar_1117;2.86e-171;482.0;COG2759@1|root,arCOG04538@2157|Archaea,41S6B@651137|Thaumarchaeota;651137|Thaumarchaeota;F;Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate;folD;-;1.5.1.5,3.5.4.9;ko:K01491;ko00670,ko00720,ko01100,ko01120,ko01200,map00670,map00720,map01100,map01120,map01200;M00140,M00377;R01220,R01655;RC00202,RC00578;ko00000,ko00001,ko00002,ko01000;-;-;-;THF_DHG_CYH,THF_DHG_CYH_C
k105_142_6;1229909.NSED_06480;5.92e-98;288.0;COG0212@1|root,arCOG00474@2157|Archaea,41SRZ@651137|Thaumarchaeota;651137|Thaumarchaeota;H;5-formyltetrahydrofolate cyclo-ligase;-;-;6.3.3.2;ko:K01934;ko00670,ko01100,map00670,map01100;-;R02301;RC00183;ko00000,ko00001,ko01000;-;-;-;5-FTHF_cyc-lig
k105_142_7;1229909.NSED_06485;2.09e-258;713.0;COG0151@1|root,arCOG04415@2157|Archaea,41SB3@651137|Thaumarchaeota;651137|Thaumarchaeota;F;Belongs to the GARS family;purD;-;6.3.4.13;ko:K01945;ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130;M00048;R04144;RC00090,RC00166;ko00000,ko00001,ko00002,ko01000;-;-;-;GARS_A,GARS_C,GARS_N
k105_142_8;1229909.NSED_06490;0.0;1924.0;COG0060@1|root,arCOG00807@2157|Archaea,41SFF@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Belongs to the class-I aminoacyl-tRNA synthetase family;-;-;6.1.1.5;ko:K01870;ko00970,map00970;M00359,M00360;R03656;RC00055,RC00523;ko00000,ko00001,ko00002,ko01000,ko01007,ko03016;-;-;-;Anticodon_1,tRNA-synt_1
k105_142_9;1229909.NSED_06495;4.24e-138;390.0;COG2406@1|root,arCOG01093@2157|Archaea,41S6X@651137|Thaumarchaeota;651137|Thaumarchaeota;S;Ferritin-like domain;-;-;-;-;-;-;-;-;-;-;-;-;Ferritin
k105_142_10;1229909.NSED_06500;5.46e-66;201.0;arCOG08645@1|root,arCOG08645@2157|Archaea,41STW@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_142_11;1229909.NSED_06505;3.71e-228;632.0;COG0045@1|root,arCOG01337@2157|Archaea,41S5M@651137|Thaumarchaeota;651137|Thaumarchaeota;C;ATP-grasp domain;-;-;6.2.1.5;ko:K01903;ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200;M00009,M00011,M00173,M00374,M00620;R00405,R02404;RC00004,RC00014;ko00000,ko00001,ko00002,ko01000;-;-;-;ATP-grasp_2,Ligase_CoA
k105_142_12;1229909.NSED_06510;2.78e-200;556.0;COG0074@1|root,arCOG01339@2157|Archaea,41SEU@651137|Thaumarchaeota;651137|Thaumarchaeota;C;Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit;sucD;-;6.2.1.5;ko:K01902;ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200;M00009,M00011,M00173,M00374,M00620;R00405,R02404;RC00004,RC00014;ko00000,ko00001,ko00002,ko01000;-;-;-;CoA_binding,Ligase_CoA
k105_142_13;1229909.NSED_06515;5.17e-33;114.0;COG1552@1|root,arCOG04049@2157|Archaea,41T87@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Belongs to the eukaryotic ribosomal protein eL40 family;-;-;-;ko:K02927;ko03010,map03010;M00177,M00179;-;-;br01610,ko00000,ko00001,ko00002,ko03011;-;-;-;-
k105_142_14;1229909.NSED_06520;1.44e-25;97.4;arCOG10577@1|root,arCOG10577@2157|Archaea;2157|Archaea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_203_2;436308.Nmar_0885;2.4e-33;115.0;arCOG10558@1|root,arCOG10558@2157|Archaea;2157|Archaea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_203_4;436308.Nmar_0886;0.0;972.0;COG0129@1|root,arCOG04045@2157|Archaea,41SD0@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Belongs to the IlvD Edd family;ilvD;-;4.2.1.9;ko:K01687;ko00290,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00770,map01100,map01110,map01130,map01210,map01230;M00019,M00570;R01209,R04441,R05070;RC00468,RC01714;ko00000,ko00001,ko00002,ko01000;-;-;-;ILVD_EDD
k105_276_1;331113.SNE_A06080;1.1e-09;62.8;COG0500@1|root,COG0500@2|Bacteria;2|Bacteria;Q;methyltransferase activity;-;-;-;-;-;-;-;-;-;-;-;-;Methyltransf_11,Methyltransf_23,Methyltransf_25
k105_276_2;436308.Nmar_0775;6.86e-91;268.0;arCOG08712@1|root,arCOG08712@2157|Archaea,41SU6@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_276_3;436308.Nmar_0774;6.16e-81;246.0;COG0805@1|root,arCOG01919@2157|Archaea,41S69@651137|Thaumarchaeota;651137|Thaumarchaeota;U;Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes;tatC;-;-;ko:K03118;ko03060,ko03070,map03060,map03070;M00336;-;-;ko00000,ko00001,ko00002,ko02044;2.A.64;-;-;TatC
k105_323_1;436308.Nmar_0205;4.89e-63;194.0;COG0328@1|root,arCOG02942@2157|Archaea,41SWJ@651137|Thaumarchaeota;651137|Thaumarchaeota;L;RNase H;-;-;3.1.26.4;ko:K03469;ko03030,map03030;-;-;-;ko00000,ko00001,ko01000,ko03032;-;-;-;RVT_3
k105_323_2;1229909.NSED_00820;5.39e-75;227.0;arCOG10529@1|root,arCOG10529@2157|Archaea,41SSF@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_323_3;1229909.NSED_00805;1.78e-204;566.0;COG1032@1|root,arCOG01363@2157|Archaea,41S6P@651137|Thaumarchaeota;651137|Thaumarchaeota;C;Radical SAM;-;-;-;-;-;-;-;-;-;-;-;-;Radical_SAM
k105_323_4;1229909.NSED_01035;8e-12;62.0;COG5466@1|root,arCOG05278@2157|Archaea;2157|Archaea;S;small metal-binding protein;-;-;-;-;-;-;-;-;-;-;-;-;DUF1059
k105_323_5;1229909.NSED_00795;1.25e-42;140.0;arCOG10519@1|root,arCOG10519@2157|Archaea,41T6D@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_323_6;436308.Nmar_0198;1.31e-81;245.0;arCOG06293@1|root,arCOG06293@2157|Archaea,41T3S@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_323_7;1229909.NSED_09430;3.83e-112;344.0;arCOG02322@1|root,arCOG07810@1|root,arCOG02322@2157|Archaea,arCOG07810@2157|Archaea,41T0S@651137|Thaumarchaeota;651137|Thaumarchaeota;N;Adenylate guanylate cyclase with integral membrane sensor;-;-;-;-;-;-;-;-;-;-;-;-;Guanylate_cyc,HAMP
k105_323_8;436308.Nmar_0194;4.74e-63;202.0;COG1819@1|root,arCOG01393@2157|Archaea,41T16@651137|Thaumarchaeota;651137|Thaumarchaeota;G;Glycosyltransferase family 28 C-terminal domain;-;-;-;-;-;-;-;-;-;-;-;-;Glyco_tran_28_C
k105_377_2;1229909.NSED_06005;2.21e-20;95.5;arCOG03042@1|root,arCOG03042@2157|Archaea;2157|Archaea;KLT;PFAM Tetratricopeptide repeat;-;-;-;-;-;-;-;-;-;-;-;-;TPR_1,TPR_16,TPR_2,TPR_8
k105_377_3;1229909.NSED_06010;1.82e-112;330.0;arCOG08737@1|root,arCOG08737@2157|Archaea,41T1W@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_377_4;1229909.NSED_06020;4.85e-89;263.0;COG1917@1|root,arCOG03444@2157|Archaea,41SV4@651137|Thaumarchaeota;651137|Thaumarchaeota;S;Cupin;-;-;-;-;-;-;-;-;-;-;-;-;Cupin_2
k105_377_5;1229909.NSED_06025;1.63e-54;173.0;COG0662@1|root,arCOG03003@2157|Archaea;2157|Archaea;G;PFAM Cupin 2, conserved barrel domain protein;-;-;3.5.4.1;ko:K01485;ko00240,ko00330,ko01100,map00240,map00330,map01100;-;R00974,R01411,R02922;RC00074,RC00514,RC00809;ko00000,ko00001,ko01000;-;-;-;Cupin_2
k105_377_6;1229909.NSED_06030;4.71e-88;265.0;COG0484@1|root,COG1141@1|root,arCOG00349@2157|Archaea,arCOG02846@2157|Archaea,41ST0@651137|Thaumarchaeota;651137|Thaumarchaeota;CO;DnaJ-class molecular chaperone with C-terminal Zn finger domain;-;-;-;-;-;-;-;-;-;-;-;-;DnaJ,Fer4_13
k105_82317_2;1229909.NSED_03405;1.23e-246;680.0;COG1163@1|root,arCOG00358@2157|Archaea,41SAD@651137|Thaumarchaeota;651137|Thaumarchaeota;S;small GTP-binding protein;-;-;-;ko:K06944;-;-;-;-;ko00000;-;-;-;MMR_HSR1,MMR_HSR1_Xtn,TGS
k105_417_2;436308.Nmar_0840;2.56e-45;148.0;COG1545@1|root,arCOG01289@2157|Archaea,41SWD@651137|Thaumarchaeota;651137|Thaumarchaeota;S;nucleic-acid-binding protein containing a Zn-ribbon;-;-;-;ko:K07068;-;-;-;-;ko00000;-;-;-;-
k105_417_3;436308.Nmar_0839;2.11e-146;418.0;COG2263@1|root,arCOG00910@2157|Archaea,41S85@651137|Thaumarchaeota;651137|Thaumarchaeota;J;RNA methylase;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_417_5;1229909.NSED_04615;3.08e-103;301.0;COG1591@1|root,arCOG00919@2157|Archaea,41SQP@651137|Thaumarchaeota;651137|Thaumarchaeota;L;A structure-specific endonuclease that resolves Holliday junction (HJ) intermediates during genetic recombination. Cleaves 4-way DNA junctions introducing paired nicks in opposing strands, leaving a 5'-terminal phosphate and a 3'-terminal hydroxyl group that are ligated to produce recombinant products;-;-;-;-;-;-;-;-;-;-;-;-;Hjc
k105_417_6;1229909.NSED_04610;4.36e-83;248.0;arCOG11395@1|root,arCOG11395@2157|Archaea,41TBH@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_417_7;1229909.NSED_04605;6.56e-51;162.0;arCOG08697@1|root,arCOG08697@2157|Archaea,41SUN@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_529_2;1229909.NSED_08905;4.61e-35;119.0;arCOG02240@1|root,arCOG02240@2157|Archaea,41SSM@651137|Thaumarchaeota;651137|Thaumarchaeota;S;4-oxalocrotonate tautomerase;-;-;5.3.2.6;ko:K01821;ko00362,ko00621,ko00622,ko01100,ko01120,ko01220,map00362,map00621,map00622,map01100,map01120,map01220;M00569;R03966,R05389;RC01040,RC01355;ko00000,ko00001,ko00002,ko01000;-;-;-;Tautomerase
k105_529_3;1131266.ARWQ01000009_gene929;1.37e-142;407.0;COG0705@1|root,arCOG01768@2157|Archaea,41SKD@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Rhomboid family;-;-;-;-;-;-;-;-;-;-;-;-;Rhomboid
k105_529_4;436308.Nmar_1644;1.23e-38;140.0;arCOG08728@1|root,arCOG08728@2157|Archaea,41SW1@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_768_1;1229909.NSED_06165;0.0;927.0;COG1855@1|root,arCOG04116@2157|Archaea,41SX0@651137|Thaumarchaeota;651137|Thaumarchaeota;S;Large family of predicted nucleotide-binding domains;-;-;-;ko:K06865;-;-;-;-;ko00000;-;-;-;KH_1,T2SSE
k105_768_3;1229909.NSED_06185;1.16e-265;736.0;COG1530@1|root,arCOG00321@2157|Archaea,41T2C@651137|Thaumarchaeota;651137|Thaumarchaeota;L;modulator of DNA gyrase;-;-;-;ko:K03568;-;-;-;-;ko00000,ko01002;-;-;-;PmbA_TldD
k105_800_1;1229909.NSED_00235;4.22e-77;237.0;COG0037@1|root,arCOG00042@2157|Archaea,41S84@651137|Thaumarchaeota;651137|Thaumarchaeota;D;PP-loop family;-;-;-;-;-;-;-;-;-;-;-;-;ATP_bind_3
k105_800_2;436308.Nmar_0107;1.85e-236;657.0;COG0750@1|root,arCOG04064@2157|Archaea,41SW5@651137|Thaumarchaeota;651137|Thaumarchaeota;M;Peptidase family M50;-;-;-;-;-;-;-;-;-;-;-;-;PDZ_2,Peptidase_M50
k105_800_3;436308.Nmar_0108;2.33e-38;130.0;COG1324@1|root,arCOG04231@2157|Archaea,41SR4@651137|Thaumarchaeota;651137|Thaumarchaeota;P;PFAM CutA1 divalent ion tolerance protein;-;-;-;ko:K03926;-;-;-;-;ko00000;-;-;-;CutA1
k105_826_1;1229909.NSED_01910;3.01e-206;587.0;COG0552@1|root,arCOG01227@2157|Archaea,41SCC@651137|Thaumarchaeota;651137|Thaumarchaeota;U;Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC);ftsY;-;-;ko:K03110;ko02024,ko03060,ko03070,map02024,map03060,map03070;M00335;-;-;ko00000,ko00001,ko00002,ko02044;3.A.5.1,3.A.5.2,3.A.5.7;-;-;SRP54,SRP54_N
k105_826_2;436308.Nmar_0395;2.1e-70;215.0;COG1730@1|root,arCOG01341@2157|Archaea,41SSP@651137|Thaumarchaeota;651137|Thaumarchaeota;O;Molecular chaperone capable of stabilizing a range of proteins. Seems to fulfill an ATP-independent, HSP70-like function in archaeal de novo protein folding;pfdA;-;-;ko:K04797;-;-;-;-;ko00000,ko03110;-;-;-;Prefoldin
k105_826_3;436308.Nmar_0394;4.74e-148;416.0;COG0605@1|root,arCOG04147@2157|Archaea,41S6C@651137|Thaumarchaeota;651137|Thaumarchaeota;P;Destroys radicals which are normally produced within the cells and which are toxic to biological systems;-;-;1.15.1.1;ko:K04564;ko04013,ko04068,ko04146,ko04211,ko04212,ko04213,ko05016,map04013,map04068,map04146,map04211,map04212,map04213,map05016;-;-;-;ko00000,ko00001,ko01000;-;-;-;Sod_Fe_C,Sod_Fe_N
k105_826_4;1229909.NSED_01895;7.34e-260;731.0;COG1404@1|root,arCOG00702@2157|Archaea,41SX3@651137|Thaumarchaeota;651137|Thaumarchaeota;O;Belongs to the peptidase S8 family;-;-;-;ko:K14647;ko02024,map02024;-;-;-;ko00000,ko00001,ko01000,ko01002,ko03110;-;-;-;PA,Peptidase_S8
