locus_tag	ftype	length_bp	gene	EC_number	COG	product
PGLLGMOK_00001	CDS	1290	mnmE_1	3.6.-.-		tRNA modification GTPase MnmE
PGLLGMOK_00002	CDS	642	yidC_1			Membrane protein insertase YidC
PGLLGMOK_00003	CDS	1137				hypothetical protein
PGLLGMOK_00004	CDS	372				hypothetical protein
PGLLGMOK_00005	CDS	825				hypothetical protein
PGLLGMOK_00006	CDS	315				hypothetical protein
PGLLGMOK_00007	CDS	675				hypothetical protein
PGLLGMOK_00008	CDS	906	odhA	1.2.4.2		2-oxoglutarate dehydrogenase E1 component
PGLLGMOK_00009	CDS	303				hypothetical protein
PGLLGMOK_00010	CDS	297				hypothetical protein
PGLLGMOK_00011	CDS	534	pdxT_1	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
PGLLGMOK_00012	CDS	339				hypothetical protein
PGLLGMOK_00013	tRNA	87				tRNA-Leu(caa)
PGLLGMOK_00014	CDS	1314				hypothetical protein
PGLLGMOK_00015	CDS	654				hypothetical protein
PGLLGMOK_00016	CDS	312				hypothetical protein
PGLLGMOK_00017	CDS	504	sepP	3.6.1.27	COG0671	Undecaprenyl-diphosphatase
PGLLGMOK_00018	CDS	543	rps3_1		COG0092	30S ribosomal protein S3
PGLLGMOK_00019	CDS	405				hypothetical protein
PGLLGMOK_00020	CDS	222				hypothetical protein
PGLLGMOK_00021	CDS	303				hypothetical protein
PGLLGMOK_00022	CDS	369			COG0093	50S ribosomal protein L14
PGLLGMOK_00023	CDS	123				hypothetical protein
PGLLGMOK_00024	CDS	309				hypothetical protein
PGLLGMOK_00025	CDS	162				hypothetical protein
PGLLGMOK_00026	CDS	816	aroB	4.2.3.4		3-dehydroquinate synthase
PGLLGMOK_00027	CDS	378				hypothetical protein
PGLLGMOK_00028	CDS	1134	fpoD_1	1.12.98.3	COG0649	F(420)H(2) dehydrogenase subunit D
PGLLGMOK_00029	CDS	600	ndhJ_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
PGLLGMOK_00030	CDS	525	ndhK_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K, chloroplastic
PGLLGMOK_00031	CDS	387	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic
PGLLGMOK_00032	CDS	465	tpx	1.11.1.15		Thiol peroxidase
PGLLGMOK_00033	CDS	393				hypothetical protein
PGLLGMOK_00034	CDS	447				hypothetical protein
