Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin_1	k__Bacteria (UID3187)	2258	190	119	44.95	1.73	50.00	1430224	0	582	582	2463	2463	2457	2457	8628	8628	47.6	3.02	91.29	11	1754	93	93	4	0	0	0
bin_10	c__Gammaproteobacteria (UID4201)	1164	275	174	48.96	13.68	6.67	1088304	0	467	467	2285	2285	2330	2330	7890	7890	37.9	1.66	96.17	11	1417	130	108	33	4	0	0
bin_11	o__Actinomycetales (UID1663)	488	310	185	71.45	3.61	54.55	1492168	0	430	430	3864	3864	3470	3470	17670	17670	62.9	1.63	94.47	11	1809	74	225	11	0	0	0
bin_12	k__Bacteria (UID1453)	901	171	117	48.63	1.36	33.33	1143487	0	393	393	3046	3046	2909	2909	9974	9974	52.8	1.13	94.25	11	1463	77	91	3	0	0	0
bin_13	root (UID1)	5656	56	24	8.33	0.00	0.00	358420	0	148	148	2437	2437	2421	2421	6894	6894	41.9	1.92	95.46	11	449	54	2	0	0	0	0
bin_14	k__Archaea (UID2)	207	145	103	94.02	29.13	15.38	1542844	0	241	241	9065	9065	6401	6401	56583	56583	34.5	1.85	92.34	11	2031	9	99	36	1	0	0
bin_15	p__Proteobacteria (UID3880)	1495	261	164	62.48	23.31	56.86	1456189	0	436	436	3643	3643	3339	3339	32682	32682	39.0	1.60	96.14	11	1729	96	122	39	4	0	0
bin_16	p__Euryarchaeota (UID3)	148	188	125	50.67	0.80	100.00	1029305	0	45	45	35106	35106	22873	22873	69534	69534	54.8	1.29	93.66	11	943	87	100	1	0	0	0
bin_17	p__Euryarchaeota (UID3)	148	188	125	58.31	3.20	100.00	985079	0	274	274	4074	4074	3595	3595	19823	19823	44.2	2.03	94.51	11	1125	65	118	5	0	0	0
bin_18	p__Euryarchaeota (UID3)	148	188	125	31.73	0.00	0.00	464223	0	12	12	101247	101247	38685	38685	131335	131335	52.4	1.08	94.15	11	372	126	62	0	0	0	0
bin_19	k__Bacteria (UID2565)	2921	143	87	22.46	0.00	0.00	549569	0	276	276	1923	1923	1991	1991	4680	4680	68.3	2.04	91.81	11	633	109	34	0	0	0	0
bin_2	k__Archaea (UID2)	207	145	103	59.71	0.00	0.00	674290	0	190	190	4075	4075	3548	3548	15905	15905	30.5	1.88	92.32	11	1022	70	75	0	0	0	0
bin_20	k__Bacteria (UID1453)	901	171	117	80.68	2.14	0.00	1578625	0	330	330	6049	6049	4783	4783	29101	29101	44.8	1.39	94.19	11	1817	27	141	3	0	0	0
bin_21	k__Bacteria (UID203)	5449	104	58	38.24	7.18	42.86	460051	0	229	229	1927	1927	2008	2008	5319	5319	29.5	2.13	95.77	11	679	72	25	7	0	0	0
bin_22	k__Bacteria (UID2565)	2921	142	87	83.07	3.55	25.00	3130893	0	810	810	4304	4304	3865	3865	26308	26308	62.2	2.39	91.15	11	3048	18	120	4	0	0	0
bin_23	k__Bacteria (UID203)	5449	104	58	55.17	18.50	8.70	1253992	0	545	545	2245	2245	2300	2300	10758	10758	34.5	2.01	96.33	11	1715	46	43	11	4	0	0
bin_24	k__Archaea (UID2)	207	145	103	81.55	42.29	3.17	1668193	0	481	481	3678	3678	3468	3468	25328	25328	34.2	1.85	93.04	11	2377	23	59	63	0	0	0
bin_3	root (UID1)	5656	56	24	100.00	349.40	7.99	5032734	0	1545	1545	3506	3506	3257	3257	38170	38170	31.7	2.66	96.43	11	6489	0	0	3	9	11	33
bin_4	p__Euryarchaeota (UID3)	148	188	125	49.07	1.60	50.00	1105621	0	203	203	6658	6658	5446	5446	31030	31030	45.0	1.57	94.97	11	1079	101	85	2	0	0	0
bin_5	root (UID1)	5656	56	24	8.33	0.00	0.00	263991	0	129	129	2003	2003	2046	2046	3896	3896	62.3	1.99	94.70	11	401	54	2	0	0	0	0
bin_6	o__Actinomycetales (UID1663)	488	310	185	61.07	1.97	75.00	1372244	0	456	456	3185	3185	3009	3009	13193	13193	61.7	1.65	92.10	11	1648	106	196	8	0	0	0
bin_7	k__Bacteria (UID203)	5449	103	57	3.51	0.00	0.00	215688	0	101	101	2118	2118	2135	2135	4109	4109	55.5	1.06	87.92	11	240	99	4	0	0	0	0
bin_8	p__Euryarchaeota (UID3)	148	188	125	17.15	0.00	0.00	201956	0	44	44	5313	5313	4589	4589	12930	12930	47.7	1.00	94.61	11	231	138	50	0	0	0	0
bin_9	k__Bacteria (UID203)	5449	104	58	8.62	0.00	0.00	324310	0	135	135	2358	2358	2402	2402	5368	5368	57.5	1.58	93.73	11	423	98	6	0	0	0	0
bin_unbinned	k__Bacteria (UID203)	5449	104	58	83.62	155.43	1.43	6880933	0	3181	3181	1996	1996	2163	2163	34803	34803	48.6	7.93	92.74	11	8340	10	15	15	13	13	38
