locus_tag	ftype	length_bp	gene	EC_number	COG	product
MMNBELJE_00001	CDS	576	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
MMNBELJE_00002	CDS	330				hypothetical protein
MMNBELJE_00003	CDS	285				hypothetical protein
MMNBELJE_00004	CDS	867	folD		COG0190	Bifunctional protein FolD protein
MMNBELJE_00005	CDS	561	yqgN		COG0212	putative protein YqgN
MMNBELJE_00006	CDS	1263	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
MMNBELJE_00007	CDS	3198	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
MMNBELJE_00008	CDS	585				hypothetical protein
MMNBELJE_00009	CDS	330				hypothetical protein
MMNBELJE_00010	CDS	1107	sucC	6.2.1.4	COG0045	Succinate--CoA ligase [GDP-forming] subunit beta
MMNBELJE_00011	CDS	912	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
MMNBELJE_00012	CDS	168				hypothetical protein
MMNBELJE_00013	CDS	264				hypothetical protein
MMNBELJE_00014	CDS	222				hypothetical protein
MMNBELJE_00015	CDS	150				hypothetical protein
MMNBELJE_00016	CDS	1674	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
MMNBELJE_00017	CDS	159				hypothetical protein
MMNBELJE_00018	CDS	471				hypothetical protein
MMNBELJE_00019	CDS	444				hypothetical protein
MMNBELJE_00020	CDS	882				hypothetical protein
MMNBELJE_00021	CDS	267				hypothetical protein
MMNBELJE_00022	CDS	264				hypothetical protein
MMNBELJE_00023	CDS	507				hypothetical protein
MMNBELJE_00024	CDS	981				hypothetical protein
MMNBELJE_00025	tRNA	76				tRNA-Val(tac)
MMNBELJE_00026	CDS	822	cpoB			Cell division coordinator CpoB
MMNBELJE_00027	CDS	729				hypothetical protein
MMNBELJE_00028	CDS	456				hypothetical protein
MMNBELJE_00029	CDS	363				hypothetical protein
MMNBELJE_00030	CDS	198				hypothetical protein
MMNBELJE_00031	CDS	252				hypothetical protein
MMNBELJE_00032	CDS	1149	obg	3.6.5.-		GTPase Obg
MMNBELJE_00033	CDS	309				hypothetical protein
MMNBELJE_00034	CDS	828				hypothetical protein
MMNBELJE_00035	CDS	210				hypothetical protein
MMNBELJE_00036	CDS	564				hypothetical protein
MMNBELJE_00037	CDS	450				hypothetical protein
MMNBELJE_00038	CDS	177				hypothetical protein
MMNBELJE_00039	CDS	774				hypothetical protein
MMNBELJE_00040	CDS	369				hypothetical protein
MMNBELJE_00041	CDS	1821				hypothetical protein
MMNBELJE_00042	CDS	144				hypothetical protein
