#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k105_6 flag=0 multi=10.8024 len=2777	68.6936	2777	0.0000	100.0000	2777	957	949	0.3584	70	13.46
k105_12 flag=1 multi=2.0000 len=1800	13.4061	1800	0.0000	100.0000	1800	120	121	0.3789	13	3.35
k105_15 flag=1 multi=2.8786 len=1505	8.3907	1505	0.0000	100.0000	1505	63	67	0.5494	8	2.65
k105_17 flag=0 multi=4.9718 len=1523	37.2915	1523	0.0000	100.0000	1523	278	287	0.3237	39	10.59
k105_81878 flag=1 multi=3.2235 len=3922	27.8243	3922	0.0000	100.0000	3922	546	541	0.4243	29	7.88
k105_18 flag=1 multi=3.7958 len=3611	27.5115	3611	0.0000	100.0000	3611	483	506	0.3352	28	7.75
k105_81882 flag=1 multi=3.0000 len=2781	11.5818	2781	0.0000	100.0000	2781	161	162	0.5206	11	3.47
k105_81886 flag=1 multi=3.9039 len=2726	13.5323	2726	0.0000	98.9362	2697	185	184	0.6091	13	6.03
k105_30 flag=0 multi=3.9876 len=2526	15.6884	2526	0.0000	100.0000	2526	191	206	0.3559	14	7.24
k105_35 flag=0 multi=10.0000 len=1781	39.8108	1781	0.0000	100.0000	1781	356	351	0.2802	38	11.67
k105_81903 flag=1 multi=3.6241 len=3180	22.5940	3180	0.0000	100.0000	3180	353	360	0.6347	23	6.55
k105_81907 flag=1 multi=1.9744 len=3225	11.0955	3225	0.0000	100.0000	3225	180	178	0.5304	11	3.39
k105_81914 flag=1 multi=3.0000 len=1851	12.1313	1851	0.0000	100.0000	1851	113	112	0.5396	13	3.93
k105_54 flag=1 multi=1.9479 len=2272	13.2724	2272	0.0000	100.0000	2272	146	154	0.2817	13	3.44
k105_60 flag=0 multi=5.0000 len=3358	29.9258	3358	0.0000	100.0000	3358	502	500	0.3000	30	7.06
k105_81941 flag=0 multi=4.9685 len=2642	24.0000	2642	0.0000	100.0000	2642	313	323	0.4573	21	10.81
k105_81956 flag=0 multi=4.0000 len=4305	20.6163	4305	0.0000	99.9768	4304	446	445	0.6322	21	5.93
k105_81957 flag=1 multi=4.7230 len=1549	119.7076	1549	0.0000	100.0000	1549	860	952	0.3246	101	54.60
k105_102 flag=1 multi=1.9530 len=1593	28.0967	1593	0.0000	100.0000	1593	230	219	0.5157	30	8.94
k105_81966 flag=1 multi=2.9469 len=2705	14.2462	2705	0.0000	100.0000	2705	192	191	0.4169	15	4.96
k105_81987 flag=1 multi=3.8628 len=2992	21.3957	2992	0.0000	100.0000	2992	323	325	0.5893	21	6.49
k105_129 flag=1 multi=2.8896 len=2115	22.6066	2115	0.0000	100.0000	2115	244	234	0.4008	22	6.52
k105_81999 flag=1 multi=4.0000 len=1884	13.2357	1884	0.0000	100.0000	1884	126	125	0.4235	13	4.47
k105_82003 flag=1 multi=2.5152 len=1877	11.2701	1877	0.0000	100.0000	1877	107	106	0.3939	11	3.96
k105_82013 flag=0 multi=4.6632 len=1821	41.6650	1821	0.0000	100.0000	1821	367	391	0.3051	45	11.82
k105_142 flag=0 multi=21.5236 len=11883	111.0388	11883	0.0000	100.0000	11883	6542	6589	0.3154	111	16.07
k105_160 flag=1 multi=2.0000 len=2067	10.4669	2067	0.0000	100.0000	2067	109	107	0.4090	10	3.09
k105_165 flag=1 multi=4.0000 len=1882	25.1015	1882	0.0000	100.0000	1882	238	235	0.3904	24	10.47
k105_168 flag=1 multi=1.9583 len=1785	15.7782	1785	0.0000	100.0000	1785	135	147	0.3359	15	7.86
k105_82054 flag=1 multi=3.0000 len=1645	12.2128	1645	0.0000	100.0000	1645	103	101	0.5518	12	3.52
k105_185 flag=1 multi=2.9400 len=2438	15.3958	2438	0.0000	100.0000	2438	183	194	0.3774	15	4.86
k105_191 flag=1 multi=4.0000 len=2128	28.7777	2128	0.0000	100.0000	2128	303	310	0.3228	27	12.71
k105_82082 flag=1 multi=5.0000 len=3393	18.6183	3393	0.0000	99.9116	3390	317	314	0.4490	19	5.26
k105_193 flag=0 multi=5.7433 len=1605	32.8498	1605	0.0000	100.0000	1605	276	256	0.3610	32	11.21
k105_199 flag=1 multi=3.8773 len=2941	16.9565	2941	0.0000	100.0000	2941	247	250	0.4551	17	5.72
k105_82095 flag=1 multi=2.9583 len=2478	18.3450	2478	0.0000	100.0000	2478	226	236	0.6479	19	5.64
k105_203 flag=0 multi=11.7947 len=2808	90.8123	2808	0.0000	100.0000	2808	1268	1269	0.3299	95	21.03
k105_82101 flag=1 multi=3.0000 len=1824	27.5132	1824	0.0000	100.0000	1824	242	259	0.3627	27	8.09
k105_82103 flag=0 multi=10.1423 len=2199	82.3361	2199	0.0000	100.0000	2199	889	862	0.3592	81	25.64
k105_218 flag=0 multi=6.9830 len=3640	45.8206	3640	0.0000	100.0000	3640	819	836	0.3237	49	14.72
k105_226 flag=0 multi=3.3555 len=1891	18.4849	1891	0.0000	100.0000	1891	177	171	0.3619	18	5.97
k105_245 flag=1 multi=2.0000 len=1856	10.9677	1856	0.0000	100.0000	1856	96	107	0.3687	10	3.92
k105_82118 flag=0 multi=6.0010 len=24502	28.6289	24502	0.0000	100.0000	24502	3433	3553	0.4195	29	7.29
k105_262 flag=1 multi=3.9473 len=4885	19.3277	4885	0.0000	100.0000	4885	468	471	0.3595	19	6.74
k105_82133 flag=1 multi=3.9190 len=3475	18.2886	3475	0.0000	100.0000	3475	318	319	0.4449	19	5.96
k105_269 flag=1 multi=3.0000 len=2026	20.2651	2026	0.0000	100.0000	2026	207	202	0.3789	21	4.78
k105_276 flag=0 multi=15.7355 len=1519	97.9487	1519	0.0000	100.0000	1519	748	740	0.2989	99	18.28
k105_82153 flag=1 multi=4.0000 len=5342	19.6647	5342	0.0000	100.0000	5342	529	537	0.6185	19	5.94
